Symbol,Date,Open,High,Low,Close,Volume
BATA,2016,1446.43,1446.43,1311.25,1419.33,5250
BATA,2016,1475,1475,1460,1460,100
BATA,2016,1387.5,1460,1387,1444,300
BATA,2016,1515,1515,1515,1515,100
BATA,2016,1410.75,1410.75,1410.75,1410.75,300
BATA,2016,1480,1480,1480,1480,1500
BATA,2016,1498.5,1498.5,1406,1406,700
BATA,2016,1335.7,1380,1335.7,1380,100
BATA,2016,1420,1420,1325,1325,200
BATA,2016,1271,1380,1259,1319.5,300
BATA,2016,1385.45,1385.45,1385.45,1385.45,50
BATA,2016,1320,1320,1320,1320,50
BATA,2016,1385,1385,1385,1385,100
BATA,2016,1320,1320,1315.75,1317.88,100
BATA,2016,1260,1344.99,1260,1344.99,150
BATA,2017,1344.99,1380,1300.01,1380,2450
BATA,2017,1380,1400,1311.5,1352.5,900
BATA,2017,1380,1420.12,1350.01,1420,1150
BATA,2017,1400,1491,1400,1491,850
BATA,2017,1565.55,1565.55,1565.55,1565.55,100
BATA,2017,1643,1643,1620,1637.67,2550
BATA,2017,1719,1719,1640,1640,250
BATA,2017,1722,1722,1722,1722,200
BATA,2017,1725,1725,1660,1660,350
BATA,2017,1660,1700,1630,1649.67,650
BATA,2017,1600,1600,1568,1599,250
BATA,2017,1639,1639,1614.99,1614.99,100
BATA,2017,1610,1610,1610,1610,500
BATA,2017,1530,1530,1530,1530,100
BATA,2017,1599.5,1599.5,1529,1530,200
BATA,2017,1453.5,1549,1453.5,1470,400
BATA,2017,1528.5,1528.5,1398,1490,550
BATA,2017,1559.99,1559.99,1415.5,1415.5,600
BATA,2017,1360,1360,1344.73,1350,950
BATA,2017,1325,1415,1325,1365,300
BATA,2017,1399,1399,1399,1399,50
BATA,2017,1415,1468.95,1342,1360,1900
BATA,2017,1350,1350,1316,1320,200
BATA,2017,1349,1350,1349,1349.5,100
BATA,2017,1350,1351,1350,1351,100
BATA,2017,1389.99,1389.99,1284,1301,150
